p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
200097_s_at	23122.7	16817.9	16457.7	16233.6	12593.8	13855.1	17537.6	13361.7	20109.5	16522.7	12956.5	17008.2	13438	11644.4	12281.2	8550.5
200098_s_at	4800.5	9144.3	5138.4	5978.9	7231.4	6238	5340.5	7298.9	3273.8	3625.1	6099.9	4913.2	4672.3	4557.9	4461.7	4106.6
200099_s_at	66500.9	68365	63867.6	64872.8	79102.8	78383.9	81240.5	86667.6	68450	62153.5	70008.5	80515.2	46620.8	62772.2	49108.5	55175.5
200593_s_at	6155.1	8555.7	6629.2	7674.3	8710.1	7256.9	7006.4	9499.1	5955.3	4370.1	6946	7677.1	6239.6	7575.1	6090.9	4181.7
200594_x_at	14481	17243.6	16493.2	16113	19764.9	20040.6	18113.1	21201.5	8838.1	10632	16854.1	15719.2	16106.1	16454.6	12799.1	10243.1
200595_s_at	8064.9	4237.7	4075.6	3109.8	3133.1	3264.1	4149.7	3527.2	5532.7	4601.4	5082.1	4650.9	4369.3	4879.4	3112.8	3452.9
200596_s_at	3553.9	1732.1	1698	1165.9	1978.1	1613.4	1720.6	2224.3	1827.2	1019.3	1467.2	1043.6	1527.4	1481.2	1181.5	1332.8
200597_at	2905	1700	2097.2	1623.1	2012.2	1631.3	1863.4	2028.2	2221.9	1343	1630.6	1132.4	1807.2	2040.8	1485.8	791.3
200598_s_at	2404.1	5346.1	2361.9	3621.5	3572.2	2979.9	2605.8	2461.1	4778.5	2672.9	3101.9	4294	4130.8	4041.7	3531.6	4515.8
200599_s_at	6613.1	14195.8	7744.8	7573.5	8999.5	5818	9793.6	6398.9	8391.3	3750	8776.5	8429.8	11000.8	10670.1	6372.4	9329.5
200600_at	17158.8	12393.6	11936.9	15039.1	12186.3	12616.4	13437.4	10599.1	12200	12859.8	16392.2	14575	14753.4	10011.8	19443.1	12136.8
200601_at	558.2	894.3	537.9	714.8	892	874.2	665.2	650.1	1100.8	1947.8	965.6	1087.7	846.3	828.2	1733.5	1754.1
200602_at	1.3	146.2	1282.2	578.9	11.5	841.4	848.1	54.3	992.5	202.3	1043.5	977.4	1480.4	1083.8	576.2	166.3
200603_at	6493.1	5188.9	13094.5	9222.6	6247.3	6959.2	9034	6067.4	4201.6	2349.2	8588.6	7727.7	14698.1	7855	6109.4	6468.2
